Day,PM_2.5,PM_10,SO_2,NO_2,O_3,Temperature, Relative_humidity , Wind_speed
7/31/2004,32.8,29.5,2.7,23.2,20.1,31.9,97.9,2.8
8/1/2004,25.6,25.6,2.5,24.1,22.3,29.6,95.7,2.5
8/2/2004,19.8,22.4,2.05,18.6,17.6,27.3,94.3,3.4
8/3/2004,23.2,18.6,1.8,4.8,19.8,25.2,90.2,3.5
8/4/2004,26.5,27.8,2.2,6.1,22.1,24.8,87.6,3.1
8/5/2004,30.7,31.4,2.5,6.8,24.2,24,87.1,3.2
8/6/2004,24.2,32.6,2.6,7.8,20.2,25.4,90.3,4.8
8/7/2004,20,33.8,2.8,8.9,19.2,26.8,91.7,6.7
8/8/2004,15.6,34.6,2.5,3.4,17.8,25.3,90.1,5.3
8/9/2004,21.3,37.8,3.3,5.6,25.1,24.8,88.4,8.2
8/10/2004,19.6,31.2,2.6,2.9,18.7,25.8,91,9.6
8/11/2004,35.6,26.4,2.3,10.5,18.7,24.1,87.8,10.4
8/12/2004,15.1,20.4,2,13.2,19.1,23.5,77.4,11.2
8/13/2004,11.2,14.7,1.15,1.8,14.5,24.5,88.6,6.7
8/14/2004,20.6,15.3,1.2,1.9,18.7,25,90.8,4.1
8/15/2004,8.5,18.9,1.4,2.1,16.3,25.6,91.4,3.5
8/16/2004,6.9,23.4,1.85,3.5,11.2,23,86.5,6.1
8/17/2004,7.25,25.2,1.9,3.9,14.9,21.8,61.3,7.8
8/18/2004,14.25,26.1,2,4.5,7.8,24.9,88.6,6.4
8/19/2004,26.5,30.8,2.7,5.1,16.3,22.2,69.7,5.3
8/20/2004,33.4,36.9,3,6.4,22.3,23,76.4,9.9
8/21/2004,39.8,40.1,3.5,6.5,29.2,24.1,86.4,8.4
8/22/2004,12.8,41,3.9,7.6,25.4,23.5,76.5,7.4
8/23/2004,46.5,42.5,4,8.7,36.7,23,75.4,6
8/24/2004,25.4,35.8,3,17.2,23.6,24.1,85.9,5.8
8/25/2004,11,29.7,2.3,9.7,15.6,25,90.1,5.2
8/26/2004,31.1,28.5,2.2,13.2,17.6,22.1,68.9,3.8
8/27/2004,29.8,21.6,2.1,11.5,19.3,21.4,65.4,5.7
8/28/2004,21.3,23.1,1.2,3.6,15.4,21.5,65.9,6.3
8/29/2004,24.5,18.4,1,2.9,18.9,23.4,74.3,8.2
8/30/2004,20.3,15.8,1.2,4.1,15.6,22.8,69.7,7.9
8/31/2004,12.1,11.2,1,2.1,9.5,21.9,63.2,9.4
9/1/2004,8.3,10.8,1,1.9,6.4,23.5,75.7,4.3
9/2/2004,8.9,7.8,0.7,1.7,7.5,24.2,82.4,6.2
9/3/2004,10.4,8.3,0.8,1.7,10.1,22.8,69.1,7.1
9/4/2004,15.6,14.1,1,2.4,12.6,23.7,75.9,4.2
9/5/2004,13.2,12.2,1,2.3,12.3,25.6,90.6,5.8
9/6/2004,19.2,15.4,1.1,2.5,15.4,23.2,75.4,8.4
9/7/2004,11.9,10.1,1,2.2,16.5,24.8,84.3,9.1
9/8/2004,6.8,9.6,0.9,1.7,10.5,25.6,89.2,9.2
9/9/2004,13.2,9.5,0.9,1.8,14.3,27.3,90.6,7.3
9/10/2004,6.9,8.7,0.8,1.7,11.2,28.2,93.4,4.2
9/11/2004,7.3,6.3,0.6,1.7,9.8,29.6,94.1,6.5
9/12/2004,8.6,11.3,1,8.6,13.2,31.1,96.2,5.1
9/13/2004,6.6,16.8,1.9,15.4,14.2,33.7,97.8,2.5
9/14/2004,7.8,20.3,1.7,16.3,17.3,33,97.2,3.4
9/15/2004,9.3,23.2,2,18.9,13.1,32.1,94.3,4.8
9/16/2004,10.1,19.8,1.5,22.1,12.1,31.4,90.2,6.1
9/17/2004,11,16.1,1.3,21.2,10.1,29.8,89.9,7.6
9/18/2004,13,12.2,1.1,20.1,15.3,27.3,85.4,5.2
9/19/2004,7.3,10.5,0.9,16.7,11.2,25.8,80.1,5
9/20/2004,7.7,7.3,0.8,14.3,14.8,24.6,70.4,9.3
9/21/2004,8.6,6.7,0.7,18.75,15.7,22.9,64.4,11.1
9/22/2004,6.5,5.6,0,1.7,12.3,21.6,60.8,7.6
9/23/2004,14.1,6.1,0.7,5.6,11.1,23.8,65.9,8.4
9/24/2004,15.6,15.2,1.1,17.8,12.3,24.7,75.2,5.3
9/25/2004,8.1,37.8,5.7,25.8,23.2,25.9,79.3,6.7
9/26/2004,20.5,35.8,0.9,2.3,19.3,26.9,82.8,8.9
9/27/2004,27.6,31.2,0.6,2.5,11.4,27.3,85.4,4.9
9/28/2004,42.8,30.1,0.8,2.4,10.5,28.2,87.6,3.3
9/29/2004,60.2,25.9,1.2,10.1,12.3,31.6,91.4,3.7
9/30/2004,14.2,27.3,0.6,5.6,9.5,32.8,93.8,4.1
10/1/2004,7.9,26.4,0.7,1.7,7.6,34.5,98.4,8.9
10/2/2004,10.2,23.2,0.8,3.2,9.8,35,98.7,9.6
10/3/2004,8.8,25.1,0.9,8.7,8.3,32.6,93.5,10.4
10/4/2004,9.6,28.9,2.5,24.5,6.7,30.4,90.6,11.3
10/5/2004,14.5,31,10.5,29.4,7.2,26.9,81.4,8.2
10/6/2004,17.1,34.6,8.7,30.1,5.1,27.5,85.4,9.7
10/7/2004,32.9,35.5,9.1,28.3,6.9,28.6,86.7,7.3
10/8/2004,37.4,33.4,7.6,27.2,15.4,29.8,90.5,5.4
10/9/2004,53.2,43.9,7.3,24.1,24.3,30,92.4,2.5
10/10/2004,30.1,32.1,6.4,20.9,30.9,31.9,94.1,4
10/11/2004,24.3,26.5,6.8,18.7,43.4,32.7,96.7,3.4
10/12/2004,16.25,24.3,5.1,16.4,31.4,34.1,97.7,7.5
10/13/2004,10.25,21.2,3.2,15.2,21.2,33.5,96.4,10.1
10/14/2004,11.2,18.7,2.7,17.1,18.7,34.8,96.5,9.2
10/15/2004,20.6,16.5,1.8,13.9,23,35.4,99,11.9
